osmid,timestamp,version,y,changeset,visible,x,tags,osmid.1,geometry,neighbors
954712407,1586418255,5,37.97616958618164,0,False,23.73609733581543,,954712407,POINT (23.73609733581543 37.97616958618164),"[250691827, 2511789008, 6220792258]"
95663376,1656570006,14,37.985958099365234,0,False,23.72592544555664,,95663376,POINT (23.72592544555664 37.98595809936523),"[95663493, 95663377]"
95663377,1653488603,16,37.98539733886719,0,False,23.72578430175781,,95663377,POINT (23.72578430175781 37.98539733886719),"[11256819883, 95663386]"
11256819883,1697094501,1,37.98493957519531,0,False,23.725666046142575,,11256819883,POINT (23.72566604614258 37.98493957519531),"[250720872, 11256819882]"
250720872,1608547235,16,37.98453521728516,0,False,23.725561141967773,,250720872,POINT (23.72556114196777 37.98453521728516),[95663389]
95663375,1645130377,14,37.986114501953125,0,False,23.72492408752441,,95663375,POINT (23.72492408752441 37.98611450195313),"[844627879, 95663504, 6693568141]"
95663504,1616077747,12,37.98613357543945,0,False,23.724773406982425,,95663504,POINT (23.72477340698242 37.98613357543945),"[95663374, 6693568141]"
95663374,1616077747,10,37.98635482788086,0,False,23.72332572937012,,95663374,POINT (23.72332572937012 37.98635482788086),"[95663419, 633562900]"
633562900,1616077747,9,37.98640823364258,0,False,23.722984313964844,,633562900,POINT (23.72298431396484 37.98640823364258),[633562902]
31179468,1582269718,13,37.98564529418945,0,False,23.72412109375,,31179468,POINT (23.72412109375 37.98564529418945),"[6693568141, 5630842135, 95663389]"
95663389,1653488603,8,37.98550415039063,0,False,23.72505187988281,,95663389,POINT (23.72505187988281 37.98550415039063),"[95663493, 95663377]"
95663386,1653488603,10,37.98521041870117,0,False,23.727048873901367,,95663386,POINT (23.72704887390137 37.98521041870117),"[11256819886, 95663423]"
95663423,1372963588,5,37.98503494262695,0,False,23.728233337402344,,95663423,POINT (23.72823333740234 37.98503494262695),[95663422]
31179466,1597739194,17,37.9871711730957,0,False,23.726682662963867,,31179466,POINT (23.72668266296387 37.9871711730957),"[97834761, 962356923]"
962356923,1597739194,4,37.98712921142578,0,False,23.72673225402832,,962356923,POINT (23.72673225402832 37.98712921142578),"[962356785, 962356608]"
97788213,1578768089,38,37.98865509033203,0,False,23.730470657348636,,97788213,POINT (23.73047065734863 37.98865509033203),"[95663402, 97788195]"
95663402,1608707094,13,37.988800048828125,0,False,23.72949981689453,,95663402,POINT (23.72949981689453 37.98880004882813),"[961530806, 95663400]"
516020524,1640448498,13,37.9864616394043,0,False,23.7299919128418,,516020524,POINT (23.7299919128418 37.9864616394043),"[962356679, 250714052]"
962356679,1578767947,4,37.98667526245117,0,False,23.72864532470703,,962356679,POINT (23.72864532470703 37.98667526245117),"[95663454, 95663426]"
95663463,1645130377,15,37.9879264831543,0,False,23.72771453857422,,95663463,POINT (23.72771453857422 37.9879264831543),"[95663472, 95663461]"
95663472,1479327002,5,37.98808288574219,0,False,23.72667694091797,,95663472,POINT (23.72667694091797 37.98808288574219),[635132981]
95663490,1607586590,9,37.98881912231445,0,False,23.725069046020508,,95663490,POINT (23.72506904602051 37.98881912231445),"[97839373, 97834829]"
97834829,1571031088,9,37.98873901367188,0,False,23.72513961791992,,97834829,POINT (23.72513961791992 37.98873901367188),"[97834824, 97834834]"
97834834,1616702981,12,37.98804473876953,0,False,23.725732803344727,,97834834,POINT (23.72573280334473 37.98804473876953),[95663474]
95663474,1479327002,8,37.98788833618164,0,False,23.72589492797852,,95663474,POINT (23.72589492797852 37.98788833618164),"[5370319353, 962356740]"
3879024939,1562418012,6,37.98746490478516,0,False,23.72724723815918,,3879024939,POINT (23.72724723815918 37.98746490478516),"[95663461, 3879024943, 95663433]"
95663433,1608707094,13,37.98741149902344,0,False,23.727588653564453,,95663433,POINT (23.72758865356445 37.98741149902344),"[95663426, 95663454]"
95663454,1608707094,11,37.98722457885742,0,False,23.728782653808597,,95663454,POINT (23.72878265380859 37.98722457885742),"[95663467, 97788192]"
97788192,1640448498,51,37.98701858520508,0,False,23.730119705200195,,97788192,POINT (23.7301197052002 37.98701858520508),"[516020524, 6356544246]"
6356544246,1608707094,2,37.98687744140625,0,False,23.73102378845215,,6356544246,POINT (23.73102378845215 37.98687744140625),"[97788594, 97788686]"
95663527,1645130377,10,37.98682022094727,0,False,23.726131439208984,,95663527,POINT (23.72613143920898 37.98682022094727),"[8253823131, 95663418, 95663492]"
95663492,1565216697,9,37.986515045166016,0,False,23.726062774658203,,95663492,POINT (23.7260627746582 37.98651504516602),"[95663418, 95663376]"
635132991,1571117813,4,37.98862838745117,0,False,23.72640037536621,,635132991,POINT (23.72640037536621 37.98862838745117),[95663474]
97834761,1597739194,11,37.98703384399414,0,False,23.726451873779297,,97834761,POINT (23.7264518737793 37.98703384399414),"[2425856882, 8253823131]"
2425856882,1564709453,3,37.98716354370117,0,False,23.725706100463867,,2425856882,POINT (23.72570610046387 37.98716354370117),"[95663501, 2425856881, 97834761]"
95663631,1578768089,5,37.989501953125,0,False,23.72935485839844,,95663631,POINT (23.72935485839844 37.989501953125),"[95663394, 95663529]"
95663529,1645130377,13,37.989688873291016,0,False,23.7281494140625,,95663529,POINT (23.7281494140625 37.98968887329102),[95663398]
97788219,1687757351,11,37.9894905090332,0,False,23.73363304138184,,97788219,POINT (23.73363304138184 37.9894905090332),"[97797051, 97788769]"
97788477,1562418978,40,37.991310119628906,0,False,23.731128692626957,,97788477,POINT (23.73112869262695 37.99131011962891),"[97788471, 97788216]"
97788471,1669032922,19,37.99151611328125,0,False,23.72983741760254,,97788471,POINT (23.72983741760254 37.99151611328125),"[358465410, 358465939]"
358465939,1669032922,8,37.99163818359375,0,False,23.72905731201172,,358465939,POINT (23.72905731201172 37.99163818359375),[95663543]
97788686,1541339849,9,37.986175537109375,0,False,23.731748580932617,,97788686,POINT (23.73174858093262 37.98617553710938),"[97788594, 250713539]"
97788594,1546284680,10,37.986324310302734,0,False,23.73088836669922,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}",97788594,POINT (23.73088836669922 37.98632431030273),"[516020524, 3731648988]"
